parent,child,parents,full
Food & Drink Shop,Health Food Store,root|Shop & Service|Food & Drink Shop,root|Shop & Service|Food & Drink Shop|Health Food Store
Food & Drink Shop,Organic Grocery,root|Shop & Service|Food & Drink Shop,root|Shop & Service|Food & Drink Shop|Organic Grocery
Food & Drink Shop,Grocery Store,root|Shop & Service|Food & Drink Shop,root|Shop & Service|Food & Drink Shop|Grocery Store
Shop & Service,Automotive Shop,root|Shop & Service,root|Shop & Service|Automotive Shop
Shop & Service,Motorcycle Shop,root|Shop & Service,root|Shop & Service|Motorcycle Shop
Shop & Service,Flower Shop,root|Shop & Service,root|Shop & Service|Flower Shop
Shop & Service,Carpet Store,root|Shop & Service,root|Shop & Service|Carpet Store
Shop & Service,Real Estate Office,root|Shop & Service,root|Shop & Service|Real Estate Office
Shop & Service,Hobby Shop,root|Shop & Service,root|Shop & Service|Hobby Shop
Shop & Service,Arts & Crafts Store,root|Shop & Service,root|Shop & Service|Arts & Crafts Store
Shop & Service,Costume Shop,root|Shop & Service,root|Shop & Service|Costume Shop
Shop & Service,Pet Service,root|Shop & Service,root|Shop & Service|Pet Service
Shop & Service,Design Studio,root|Shop & Service,root|Shop & Service|Design Studio
Shop & Service,Paper / Office Supplies Store,root|Shop & Service,root|Shop & Service|Paper / Office Supplies Store
Shop & Service,Leather Goods Store,root|Shop & Service,root|Shop & Service|Leather Goods Store
Shop & Service,Mobile Phone Shop,root|Shop & Service,root|Shop & Service|Mobile Phone Shop
Shop & Service,EV Charging Station,root|Shop & Service,root|Shop & Service|EV Charging Station
Shop & Service,Souvenir Shop,root|Shop & Service,root|Shop & Service|Souvenir Shop
Shop & Service,Bank,root|Shop & Service,root|Shop & Service|Bank
Shop & Service,Floating Market,root|Shop & Service,root|Shop & Service|Floating Market
Shop & Service,Bath House,root|Shop & Service,root|Shop & Service|Bath House
Shop & Service,Piercing Parlor,root|Shop & Service,root|Shop & Service|Piercing Parlor
Shop & Service,Record Shop,root|Shop & Service,root|Shop & Service|Record Shop
Shop & Service,Public Bathroom,root|Shop & Service,root|Shop & Service|Public Bathroom
Shop & Service,Discount Store,root|Shop & Service,root|Shop & Service|Discount Store
Shop & Service,Auto Dealership,root|Shop & Service,root|Shop & Service|Auto Dealership
Shop & Service,Gaming Cafe,root|Shop & Service,root|Shop & Service|Gaming Cafe
Shop & Service,Department Store,root|Shop & Service,root|Shop & Service|Department Store
Shop & Service,Child Care Service,root|Shop & Service,root|Shop & Service|Child Care Service
Child Care Service,Daycare,root|Shop & Service|Child Care Service,root|Shop & Service|Child Care Service|Daycare
Shop & Service,Fabric Shop,root|Shop & Service,root|Shop & Service|Fabric Shop
Shop & Service,Adult Boutique,root|Shop & Service,root|Shop & Service|Adult Boutique
Shop & Service,Storage Facility,root|Shop & Service,root|Shop & Service|Storage Facility
Shop & Service,Herbs & Spices Store,root|Shop & Service,root|Shop & Service|Herbs & Spices Store
Shop & Service,Video Store,root|Shop & Service,root|Shop & Service|Video Store
Shop & Service,Gift Shop,root|Shop & Service,root|Shop & Service|Gift Shop
Shop & Service,Construction & Landscaping,root|Shop & Service,root|Shop & Service|Construction & Landscaping
Shop & Service,Other Repair Shop,root|Shop & Service,root|Shop & Service|Other Repair Shop
root,Nightlife Spot,root,root|Nightlife Spot
Nightlife Spot,Strip Club,root|Nightlife Spot,root|Nightlife Spot|Strip Club
Nightlife Spot,Other Nightlife,root|Nightlife Spot,root|Nightlife Spot|Other Nightlife
Nightlife Spot,Night Market,root|Nightlife Spot,root|Nightlife Spot|Night Market
Nightlife Spot,Bar,root|Nightlife Spot,root|Nightlife Spot|Bar
Bar,Whisky Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Whisky Bar
Bar,Cocktail Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Cocktail Bar
Bar,Beer Garden,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Beer Garden
Bar,Beach Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Beach Bar
Bar,Hotel Bar,root|Nightlife Spot|Bar,root|Nightlife Spot|Bar|Hotel Bar
