parent,child,parents,full
French Restaurant,Estaminet,root|Food|French Restaurant,root|Food|French Restaurant|Estaminet
French Restaurant,Norman Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Norman Restaurant
French Restaurant,Lyonese Bouchon,root|Food|French Restaurant,root|Food|French Restaurant|Lyonese Bouchon
French Restaurant,Breton Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Breton Restaurant
French Restaurant,Burgundian Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Burgundian Restaurant
French Restaurant,Ch'ti Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Ch'ti Restaurant
French Restaurant,Auvergne Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Auvergne Restaurant
French Restaurant,Corsican Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Corsican Restaurant
French Restaurant,Brasserie,root|Food|French Restaurant,root|Food|French Restaurant|Brasserie
French Restaurant,Labour Canteen,root|Food|French Restaurant,root|Food|French Restaurant|Labour Canteen
Food,Pakistani Restaurant,root|Food,root|Food|Pakistani Restaurant
Food,Indian Restaurant,root|Food,root|Food|Indian Restaurant
Indian Restaurant,Punjabi Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Punjabi Restaurant
Indian Restaurant,Bengali Restaurant,root|Food|Indian Restaurant,root|Food|Indian Restaurant|Bengali Restaurant
